key,count,pdf_count,example,first_pdf,first_location,pdfs
4_bezeichneten_hoechstzahlen_zulaessig_ist,1,1,bezeichneten Zeiten bis zu den in § 4 bezeichneten Höchstzahlen zulässig ist.,NSG-7100-025,§ 1,NSG-7100-025
4_verboten_ohne_genehmigung,1,1,"Im Naturschutzgebiet ist es abweichend von § 4 verboten, ohne Genehmigung",NSG-7100-292,§ 6,NSG-7100-292
5_aufgefuehrten_ausnahmen_verboten_die_zu_einer_zerstoerung,1,1,"in § 5 aufgeführten Ausnahmen verboten, die zu einer Zerstörung,",NSG-7300-220,§ 4 Verbote,NSG-7300-220
5_aufgefuehrten_ausnahmen_verboten_die_zu_einer_zerstoerung_beschaedigung,3,3,"in § 5 aufgeführten Ausnahmen verboten, die zu einer Zerstörung, Beschädigung",NSG-7300-211,§ 4,"NSG-7300-211,NSG-7300-218,NSG-7300-219"
a_1905_00_00_2_12_folgendes_verordnet,1,1,A 1905-00-00-2/12 folgendes verordnet:,NSG-7300-016,liste,NSG-7300-016
a_3147_75_3150_75_3153_75_3148_76_3149_76_3151_80,1,1,"71  a,  3147/75,  3150/75,  3153/75,  3148/76,  3149/76,  3151/80,",NSG-7100-024,§ 2,NSG-7100-024
a_55_4507b_55_4507d_55_4508b_55_4508c_55_4508d_55_4509b_55,1,1,"4507a,  55-4507b,  55-4507d,  55-4508b,  55-4508c,  55-4508d,  55-4509b,  55-",NSG-7100-299,§ 2,NSG-7100-299
a_55_4708a_55_4708b_55_4708c_55_4709a_55_4709b_55_4709c_55,1,1,"4707a,  55-4708a,  55-4708b,  55-4708c,  55-4709a,  55-4709b,  55-4709c,  55-",NSG-7100-299,§ 2,NSG-7100-299
a_60_einschl_der_anschlussstelle_roemerquelle_sowie_der,1,1,A 60 einschl. der Anschlussstelle Römerquelle sowie der,NSG-7300-187,§ 4 ist ferner nicht anzuwenden auf,NSG-7300-187
a_als_standort_bestandsbedrohter_pflanzen_und_pflanzengesellschaften,2,2,"a)  als Standort bestandsbedrohter Pflanzen und Pflanzengesellschaften,",NSG-7100-208,§ 3,"NSG-7100-208,NSG-7100-234"
a_beim_ministerium_fuer_landwirtschaft_weinbau_und_umwelt,1,1,"a)  beim Ministerium für Landwirtschaft, Weinbau und Umwelt-",NSG-7300-018,§ 2,NSG-7300-018
a_d_selz_stadt_ingelheim_rhein_und_verbandsgemeinde_gau_al,1,1,"a.d. Selz, Stadt Ingelheim/Rhein und Verbandsgemeinde Gau-Al-",NSG-7300-134,§ 2,NSG-7300-134
a_d_weinstrasse_den_18_maerz_1992,1,1,"a.d.Weinstraße, den 18. März 1992",NSG-7300-169,§ 7,NSG-7300-169
a_d_weinstrasse_landkreis_bad_duerkheim_vom_5,1,1,"a.d. Weinstraße, Landkreis Bad Dürkheim Vom 5.",NSG-7300-058,§ 7 ........................................................................................................ 6,NSG-7300-058
a_d_weinstrasse_vom_15_12_1953_ausser_kraft,1,1,a.d.Weinstraße vom 15.12.1953 außer Kraft.,NSG-7300-004,§ 7,NSG-7300-004
a_d_weinstrasse_vom_15_12_1953_rvo_7300,1,1,a.d.Weinstraße vom 15.12.1953 (RVO-7300-,NSG-7300-004,§ 7 ........................................................................................................ 6,NSG-7300-004
a_d_weinstrasse_vom_15_12_1953_rvo_7300_19531215t120000_2,1,1,a.d.Weinstraße vom 15.12.1953 (RVO-7300-19531215T120000) ..................... 2,NSG-7300-004,liste,NSG-7300-004
a_d_weinstrasse_vom_19_januar_1984_rvo_7300_19840119t120000_3,1,1,a.d.Weinstraße vom 19. Januar 1984 (RVO-7300-19840119T120000) .............. 3,NSG-7300-004,liste,NSG-7300-004
a_der_bertenauer_kopf_und,1,1,a)  der Bertenauer Kopf und,NSG-7100-017,§ 1,NSG-7100-017
a_der_bisherige_wortlaut_wird_absatz1,1,1,"a)  der bisherige Wortlaut wird Absatz1,",NSG-7100-067,§ 6,NSG-7100-067
a_der_zentralstelle_fuer_naturschutz_und_landschaftspflege_in,2,2,a)  der Zentralstelle für Naturschutz und Landschaftspflege in,NSG-7300-006,§ 2,"NSG-7300-006,NSG-7300-008"
a_die_erhaltung_des_durch_bachversickerung_entstandenen_sumpfgebietes,1,1,a) die Erhaltung des durch Bachversickerung entstandenen Sumpfgebietes,NSG-7100-049,§ 3,NSG-7100-049
a_die_flurstuecke_nrn_1549_685_1460_685_1461_685_1458_684,1,1,"a)  Die Flurstücke Nrn. „1549/685, 1460/685, 1461/685, 1458/684,",NSG-7100-249,§ 8,NSG-7100-249
a_die_forstwirtschaftliche_nutzung_im_bisherigen_umfange_und,1,1,a)  die forstwirtschaftliche Nutzung im bisherigen Umfange und,NSG-7300-018,§ 5,NSG-7300-018
a_die_ordnungsgemaesse_nutzung_der_forstbestaende,1,1,"a)  die ordnungsgemäße Nutzung der Forstbestände,",NSG-7300-007,§ 5,NSG-7300-007
a_die_rechtmaessige_ausuebung_der_jagd,12,12,a)  die rechtmäßige Ausübung der Jagd;,NSG-7100-008,§ 4,"NSG-7100-008,NSG-7100-012,NSG-7100-016,NSG-7100-017,NSG-7100-019,NSG-7100-020,NSG-7100-021,NSG-7100-022,NSG-7100-025,NSG-7100-027,NSG-7100-028,NSG-7100-029"
a_entgegen_3_dieser_verordnung_fahrlaessig_veraenderungen,1,1,a)  entgegen § 3 dieser Verordnung fahrlässig Veränderungen,NSG-7300-018,§ 7,NSG-7300-018
a_ettringen,1,1,a) Ettringen,NSG-7100-046,§ 2,NSG-7100-046
a_im_bergsenkungsgebiet_fuer_die_fortfuehrung_der_extensiven,1,1,1a.  im Bergsenkungsgebiet für die Fortführung der extensiven,NSG-7300-218,"§ 4 ist nicht anzuwenden auf Handlungen oder Maßnahmen, die",NSG-7300-218
a_im_regierungsbezirk_koeln_die_parzellen,1,1,A.  Im Regierungsbezirk Köln die Parzellen:,NSG-7100-004,§ 2,NSG-7100-004
a_in_der_gemeinde_ettringen,1,1,a) In der Gemeinde Ettringen:,NSG-7100-056,§ 2,NSG-7100-056
a_n_h_a_n_g,5,5,A n h a n g,NSG-7300-202,§ 7,"NSG-7300-202,NSG-7300-206,NSG-7300-214,NSG-7300-215,NSG-7300-216"
a_nutzung_des_talgrundes_als_wiesenkultur,1,1,"a)  Nutzung des Talgrundes als Wiesenkultur,",NSG-7100-036,§ 4,NSG-7100-036
a_pflanzen_zu_beschaedigen_auszureissen_auszugraben_oder,3,3,"a)  Pflanzen zu beschädigen, auszureißen, auszugraben oder",NSG-7300-002,§ 3,"NSG-7300-002,NSG-7300-006,NSG-7300-008"
a_pflanzen_zu_beschaedigen_auszureissen_auszugraben_oder_teile,1,1,"a)  Pflanzen zu beschädigen, auszureißen, auszugraben oder Teile",NSG-7300-009,§ 3,NSG-7300-009
a_pflanzen_zu_beschaedigen_auszureissen_oder_auszugraben,1,1,"a)  Pflanzen zu beschädigen, auszureißen oder auszugraben;",NSG-7100-006,§ 3,NSG-7100-006
a_pflanzen_zu_entfernen_oder_zu_beschaedigen,1,1,"a) Pflanzen  zu  entfernen  oder  zu  beschädigen,",NSG-7100-007,§ 3,NSG-7100-007
a_wegen_seiner_besonderen_landschaftlichen_eigenart_und_hervorragen_den,1,1,a)  wegen seiner besonderen landschaftlichen Eigenart und hervorragen-den,NSG-7100-089,§ 3,NSG-7100-089
a_wegen_seiner_geologischen_beschaffenheit,1,1,"a) wegen seiner geologischen Beschaffenheit,",NSG-7100-164,§ 3,NSG-7100-164
a_westufer_des_neuhofener_altrheins_gemarkung_neuhofen,1,1,a)  Westufer des Neuhofener Altrheins (Gemarkung Neuhofen),NSG-7300-016,§ 4,NSG-7300-016
a_wildwachsende_pflanzen_zu_beschaedigen_auszureissen_auszugraben_oder,1,1,"a) wildwachsende Pflanzen zu beschädigen, auszureißen, auszugraben oder",NSG-7100-024,§ 3,NSG-7100-024
a_zu_dem_naturschutzgebiet_gehoeren_die_distrikte,1,1,a) Zu dem Naturschutzgebiet gehören die Distrikte,NSG-7100-005,§ 1,NSG-7100-005
a_zu_laermen,1,1,a) zu lärmen;,NSG-7300-039,§ 4,NSG-7300-039
