pdf,where,type,value,text
NSG-7100-006,§ 2,distance_m,100,100 Meter
NSG-7100-008,§ 6,date_span,,vom  1.  Januar  bis  30.  Juni
NSG-7100-011,§ 2,distance_m,50,50 m
NSG-7100-013,§ 1,distance_m,1700,1700 m
NSG-7100-015,§ 1,distance_m,500,500 m
NSG-7100-016,§ 1,distance_m,500,500 m
NSG-7100-017,§ 6,distance_m,40,40m
NSG-7100-025,§ 2,distance_m,300,300 m
NSG-7100-025,§ 2,distance_m,500,500 m
NSG-7100-025,§ 2 Abs. 1,distance_m,150,150 m
NSG-7100-025,§ 11,distance_m,150,150 m
NSG-7100-030,§ 2,distance_m,4,4m
NSG-7100-032,§ 2,distance_m,450,450  m
NSG-7100-032,§ 2,distance_m,315,315  m
NSG-7100-032,§ 2,distance_m,325,325 m
NSG-7100-032,§ 2,distance_m,145,145  m
NSG-7100-032,§ 2,distance_m,265,265 m
NSG-7100-032,§ 2,distance_m,235,235 m
NSG-7100-032,§ 2,distance_m,105,105 m
NSG-7100-032,§ 2,distance_m,75,75  m
NSG-7100-032,§ 2,distance_m,2,2  m
NSG-7100-032,§ 2,distance_m,50,50 m
NSG-7100-034,§ 1,distance_m,300,300 m
NSG-7100-041,§ 2,distance_m,20,20 m
NSG-7100-041,§ 2,distance_m,90,90 m
NSG-7100-041,§ 2,distance_m,6,6 m
NSG-7100-042,§ 4,date_span,,vom 1. April bis 31. Oktober
NSG-7100-042,§ 4,distance_m,100,100 m
NSG-7100-042,§ 4,date_span,,vom 1. April bis 31. Oktober
NSG-7100-042,§ 6,date_span,,vom 1. April bis 31. Oktober
NSG-7100-042,§ 6,distance_m,100,100 m
NSG-7100-042,§ 6,date_span,,vom 1. April bis 31. Oktober
NSG-7100-046,§ 2,distance_m,195,195m
NSG-7100-047,§ 2,distance_m,65,65 m
NSG-7100-047,§ 2,distance_m,70,70 m
NSG-7100-047,§ 2,distance_m,170,170 m
NSG-7100-047,§ 2,distance_m,350,350 m
NSG-7100-048,§ 2,distance_m,420,420 m
NSG-7100-048,§ 2,distance_m,50,50 m
NSG-7100-051,§ 2,distance_m,60,60 m
NSG-7100-051,§ 2,distance_m,190,190 m
NSG-7100-051,§ 2,distance_m,150,150 m
NSG-7100-051,§ 2,distance_m,100,100 m
NSG-7100-051,§ 2,distance_m,40,40 m
NSG-7100-051,§ 2,distance_m,15,15 m
NSG-7100-056,§ 2,distance_m,97,97m
NSG-7100-059,§ 2,distance_m,60,60 m
NSG-7100-059,§ 2,distance_m,190,190 m
NSG-7100-059,§ 2,distance_m,150,150 m
NSG-7100-059,§ 2,distance_m,100,100 m
NSG-7100-059,§ 2,distance_m,40,40 m
NSG-7100-059,§ 2,distance_m,15,15 m
NSG-7100-060,§ 2,distance_m,2,2 M
NSG-7100-061,§ 3,distance_m,160,160 m
NSG-7100-063,§ 2,distance_m,700,700 m
NSG-7100-063,§ 2,distance_m,190,190 m
NSG-7100-063,§ 2,distance_m,90,90 m
NSG-7100-063,§ 2,distance_m,250,250 m
NSG-7100-063,§ 2,distance_m,70,70 m
NSG-7100-063,§ 2,distance_m,230,230 m
NSG-7100-063,§ 2,distance_m,420,420 m
NSG-7100-063,§ 2,distance_m,60,60 m
NSG-7100-063,§ 2,distance_m,160,160 m
NSG-7100-063,§ 2,distance_m,80,80 m
NSG-7100-063,§ 2,distance_m,70,70 m
NSG-7100-063,§ 2,distance_m,150,150 m
NSG-7100-063,§ 2,distance_m,290,290 m
NSG-7100-063,§ 2,distance_m,250,250 m
NSG-7100-063,§ 2,distance_m,340,340 m
NSG-7100-063,§ 2,distance_m,120,120 m
NSG-7100-070,§ 4,distance_m,10,10 m
NSG-7100-070,§ 6,distance_m,10,10 m
NSG-7100-076,§ 2,distance_m,60,60 m
NSG-7100-076,§ 2,distance_m,190,190 m
NSG-7100-076,§ 2,distance_m,150,150 m
NSG-7100-076,§ 2,distance_m,100,100 m
NSG-7100-076,§ 2,distance_m,40,40 m
NSG-7100-076,§ 2,distance_m,15,15 m
